,shape,type_of_organization,type_of_structure,type_of_event,kind_of_object,date_of_destruction,date_of_origin,category_txt,page_name,weblink1,street,OBJECTTYPE
71,POINT (16.345987015649527 48.201070040884055),,,,Grätzel,,,TopografischeObjekte,Brillantengrund,https://www.geschichtewiki.wien.gv.at/?curid=7537,Bandgasse 6,Grätzel
128,POINT (16.345714016431135 48.2005820408563),,,,Grünfläche,,2007.0,topografische_objekte,Dorothea-Neff-Park,https://www.geschichtewiki.wien.gv.at/?curid=33253,Bandgasse 5/1,Grünfläche
284,POINT (16.34123401600317 48.1961360407935),,Sakralbau,,,1892.0,,Bauwerke,"Johannes-Nepomuk-Kapelle (6, Mariahilfer Straße)",https://www.geschichtewiki.wien.gv.at/?curid=19641,Mariahilfer Straße 124,Kapelle
323,POINT (16.352570150538384 48.20476086708961),,Sakralbau,,,,1750.0,Bauwerke,"Johannes-Nepomuk-Statue (7, Ulrichsplatz)",https://www.geschichtewiki.wien.gv.at/?curid=19686,St.-Ulrichs-Platz 3(PFARRE),Sakrale_Freiplastik
474,POINT (16.348221551258803 48.199278499796634),,,,Verkehrsfläche,,1862.0,topografische_objekte,Richtergasse,https://www.geschichtewiki.wien.gv.at/?curid=26716,Richtergasse 8,Verkehrsfläche
728,POINT (16.35302526327066 48.204289915815366),Sonstiges,,,,,1713.0,organisationen,Zum St. Ulrich (Apotheke),https://www.geschichtewiki.wien.gv.at/?curid=21409,Burggasse 22,Apotheke
729,POINT (16.35432653570176 48.202555822982),Sonstiges,,,,,1783.0,organisationen,"Zum goldenen Elefanten (7, Apotheke)",https://www.geschichtewiki.wien.gv.at/?curid=12421,Siebensterngasse 20,Apotheke
734,POINT (16.3494000247669 48.20136633307758),Institution,,,,1975.0,1749.0,Organisationen,Löwinger-Bühne,https://www.geschichtewiki.wien.gv.at/?curid=20037,Neubaugasse 36/1,Theater
739,POINT (16.34704276366354 48.20284965444422),Behörde,,,,,,organisationen,Magistratsabteilung 3 - Bedienstetenschutz und berufliche Gesundheitsförderung,https://www.geschichtewiki.wien.gv.at/?curid=44676,Hermanngasse 24-26,Behörde
754,POINT (16.354299614872517 48.2055570467795),Institution,,,,,1701.0,Organisationen,Mechitaristen,https://www.geschichtewiki.wien.gv.at/?curid=28994,Mechitaristengasse 2,Institution
766,POINT (16.354198717006067 48.20595438330766),Verein,,,,,1811.0,Organisationen,Museum der Mechitaristen-Kongregation,https://www.geschichtewiki.wien.gv.at/?curid=14661,Mechitaristengasse 4,Museum
771,POINT (16.357796015446738 48.203739040605114),Institution,,,,,1962.0,organisationen,Museum moderner Kunst,https://www.geschichtewiki.wien.gv.at/?curid=14827,Museumsplatz 1(HOF E8/3),Museum
822,POINT (16.354192185866353 48.2042151845777),Anstalt,,,,2007.0,1924.0,organisationen,Pädagogische Zentralbücherei,https://www.geschichtewiki.wien.gv.at/?curid=1835,Burggasse 14-16,Anstalt
823,POINT (16.354192185866353 48.2042151845777),Institution,,,,2007.0,1923.0,organisationen,Pädagogisches Institut der Stadt Wien,https://www.geschichtewiki.wien.gv.at/?curid=1830,Burggasse 14-16,Institution
829,POINT (16.35132431376619 48.2023526522141),Institution,,,,1945.0,1938.0,organisationen,"Reichsfilmkammer, Außenstelle Wien",https://www.geschichtewiki.wien.gv.at/?curid=47059,Siebensterngasse 42-44,Institution
833,POINT (16.34535044600706 48.20026298980716),Anstalt,,,,1955.0,1945.0,Organisationen,Rot-Weiß-Rot-Sendergruppe,https://www.geschichtewiki.wien.gv.at/?curid=29245,Seidengasse 13,Anstalt
882,POINT (16.359121743337287 48.20353747424892),Institution,,,,,2001.0,Organisationen,Tanzquartier Wien,https://www.geschichtewiki.wien.gv.at/?curid=49617,Museumsplatz 1(HOF E1/5),Institution
963,POINT (16.35050506561561 48.20565632670135),Verein,,,,1932.0,1903.0,organisationen,Wiener Werkstätte,https://www.geschichtewiki.wien.gv.at/?curid=10549,Neustiftgasse 32 Obj. 3,Verein
1388,POINT (16.337908916519563 48.201372649993075),,,,Verkehrsfläche,,,topografische_objekte,Urban-Loritz-Platz,https://www.geschichtewiki.wien.gv.at/?curid=2318,Urban-Loritz-Platz WC-ANLAGE,Verkehrsfläche
1583,POINT (16.35167565901823 48.20489094091477),,,,Verkehrsfläche,,1900.0,topografische_objekte,Zeismannsbrunngasse,https://www.geschichtewiki.wien.gv.at/?curid=7496,Kirchengasse 48,Verkehrsfläche
1610,POINT (16.345017905974263 48.20222040528587),,,,Verkehrsfläche,,1750.0,topografische_objekte,Zieglergasse,https://www.geschichtewiki.wien.gv.at/?curid=7977,Zieglergasse 42,Verkehrsfläche
1631,POINT (16.354625418044538 48.205013115188514),,,,Verkehrsfläche,,1898.0,topografische_objekte,Zitterhofergasse,https://www.geschichtewiki.wien.gv.at/?curid=8312,Zitterhofergasse 8,Verkehrsfläche
1635,POINT (16.35087002828909 48.200543273358576),,,,Verkehrsfläche,,,TopografischeObjekte,Zollamtsstraße,https://www.geschichtewiki.wien.gv.at/?curid=8481,Zollergasse 14,Verkehrsfläche
1636,POINT (16.35065967437915 48.200287740352834),,,,Verkehrsfläche,,1862.0,topografische_objekte,Zollergasse,https://www.geschichtewiki.wien.gv.at/?curid=8486,Lindengasse 30,Verkehrsfläche
1709,POINT (16.343230015369418 48.207632040907036),,,,Vorstadt,1850.0,,topografische_objekte,Altlerchenfeld (Vorstadt),https://www.geschichtewiki.wien.gv.at/?curid=21382,Schottenfeldgasse/LERCHENFELDER STR.(STAND),Vorstadt
1719,POINT (16.356577015687677 48.20155704071958),,,,Sonstiges Topografisches Objekt,,,topografische_objekte,Am Pühel,https://www.geschichtewiki.wien.gv.at/?curid=22425,Mariahilfer Straße 22-24/2,Sonstiges Topografisches Obj
1733,POINT (16.347498015225714 48.198755040560314),,,,Grünfläche,,1997.0,topografische_objekte,Andreaspark,https://www.geschichtewiki.wien.gv.at/?curid=29981,Andreaspark WC-ANLAGE,Grünfläche
1907,POINT (16.34361279340748 48.2018364269491),,,,Verkehrsfläche,,1862.0,TopografischeObjekte,Westbahnstraße,https://www.geschichtewiki.wien.gv.at/?curid=8112,Westbahnstraße 32-34,Verkehrsfläche
1987,POINT (16.338496429044685 48.20445148730128),,,,Verkehrsfläche,,1890.0,topografische_objekte,Wimbergergasse,https://www.geschichtewiki.wien.gv.at/?curid=11504,Wimbergergasse 20,Verkehrsfläche
2021,POINT (16.351523540077157 48.20555287080875),,,,Verkehrsfläche,,1910.0,TopografischeObjekte,Kellermanngasse,https://www.geschichtewiki.wien.gv.at/?curid=3419,Neustiftgasse 30,Verkehrsfläche
2030,POINT (16.339343617695995 48.199983062929135),,,,Verkehrsfläche,,1892.0,TopografischeObjekte,Kenyongasse,https://www.geschichtewiki.wien.gv.at/?curid=3627,Seidengasse 41,Verkehrsfläche
2223,POINT (16.35591877685227 48.203660381618924),,,,Verkehrsfläche,,1862.0,topografische_objekte,Kirchberggasse,https://www.geschichtewiki.wien.gv.at/?curid=6189,Kirchberggasse 17,Verkehrsfläche
2225,POINT (16.35191701545684 48.20175404055528),,,,Verkehrsfläche,,1862.0,topografische_objekte,"Kirchengasse, 7. Bezirk",https://www.geschichtewiki.wien.gv.at/?curid=6444,Kirchengasse 28,Verkehrsfläche
2559,POINT (16.340436735142585 48.202211331333),,,,Verkehrsfläche,,,topografische_objekte,Kaiserstraße,https://www.geschichtewiki.wien.gv.at/?curid=24672,Kaiserstraße 52,Verkehrsfläche
2598,POINT (16.34693036577275 48.20221369628662),,,,Verkehrsfläche,,1824.0,topografische_objekte,Hermanngasse,https://www.geschichtewiki.wien.gv.at/?curid=11503,Hermanngasse 17,Verkehrsfläche
2632,POINT (16.341951914300115 48.20280751209168),,,,Verkehrsfläche,,,topografische_objekte,Kandlgasse,https://www.geschichtewiki.wien.gv.at/?curid=24034,Kandlgasse 24,Verkehrsfläche
2785,POINT (16.341544124790044 48.2041725906125),,,,Verkehrsfläche,,,topografische_objekte,Halbgasse,https://www.geschichtewiki.wien.gv.at/?curid=2271,Halbgasse 16,Verkehrsfläche
2876,POINT (16.347029656271648 48.19996338983133),,,,Verkehrsfläche,,2009.0,TopografischeObjekte,Jenny-Steiner-Weg,https://www.geschichtewiki.wien.gv.at/?curid=33374,Lindengasse 48,Verkehrsfläche
2895,POINT (16.35798931405876 48.2018339855155),,,,Verkehrsfläche,,1905.0,topografische_objekte,Karl-Schweighofer-Gasse,https://www.geschichtewiki.wien.gv.at/?curid=26532,Karl-Schweighofer-Gasse 3,Verkehrsfläche
3082,POINT (16.354465817854027 48.20117129310806),,Denkmal,,,,,Bauwerke,Schulze-Delitzsch-Büste,https://www.geschichtewiki.wien.gv.at/?curid=14162,Lindengasse 5,
3185,POINT (16.34518809547955 48.199609914134236),Firma,,,,,1987.0,Organisationen,Gold- und Silberschmiede-Museum,https://www.geschichtewiki.wien.gv.at/?curid=25405,Zieglergasse 22,Firma
3194,POINT (16.341946306155553 48.19651069497518),Anstalt,,,,,,Organisationen,Grundspital (Gemeinde Schottenfeld),https://www.geschichtewiki.wien.gv.at/?curid=28678,Mariahilfer Straße 120,Anstalt
3225,POINT (16.350505065320682 48.20583799252045),,Denkmal,,,,,Bauwerke,Türkischer Reiter,https://www.geschichtewiki.wien.gv.at/?curid=371,Neustiftgasse 32 Obj. 3,
3226,POINT (16.352570959505886 48.20476635284142),,Sakralbau,,,,1211.0,bauwerke,Ulrichskirche,https://www.geschichtewiki.wien.gv.at/?curid=711,St.-Ulrichs-Platz 5,Katholische Kirche
3227,POINT (16.352612015496717 48.20490004114943),,Denkmal,,,,,Bauwerke,Ulrichstatue,https://www.geschichtewiki.wien.gv.at/?curid=1197,St.-Ulrichs-Platz 5,Sakrale_Freiplastik
3267,POINT (16.354340222094947 48.205491929412304),,Sakralbau,,,,1837.0,Bauwerke,Mechitaristenkirche,https://www.geschichtewiki.wien.gv.at/?curid=29000,Mechitaristengasse 2,Katholische Kirche
3268,POINT (16.354299614872517 48.2055570467795),,Sakralbau,,,,1835.0,bauwerke,Mechitaristenkloster,https://www.geschichtewiki.wien.gv.at/?curid=29001,Mechitaristengasse 2,Sakralbau
3287,POINT (16.33859401530327 48.20148204091174),,Denkmal,,,,1901.0,bauwerke,Urban-Loritz-Denkmal,https://www.geschichtewiki.wien.gv.at/?curid=2317,Urban-Loritz-Platz 7,
3310,POINT (16.347698707459788 48.19778572871553),Verein,,,,,1955.0,organisationen,Berufsverband der bildenden Künstler Österreichs,https://www.geschichtewiki.wien.gv.at/?curid=30246,Mariahilfer Straße 84,Verein
3374,POINT (16.354380148340578 48.20313129116888),Institution,,,,,1966.0,organisationen,Bezirksmuseum Neubau,https://www.geschichtewiki.wien.gv.at/?curid=10735,Stiftgasse 8,Museum
3421,POINT (16.3530626383947 48.20094712719681),,Sonstiges,,,,1846.0,Bauwerke,Vogelsaal,https://www.geschichtewiki.wien.gv.at/?curid=5543,Lindengasse 14/1,Sonstiges Bauwerk
3511,POINT (16.341329192317122 48.19685885277437),Institution,,,,,1625.0,Organisationen,Lazaristen,https://www.geschichtewiki.wien.gv.at/?curid=29468,Kaiserstraße 5,Institution
3513,POINT (16.35909401564912 48.20261504079403),Institution,,,,,2001.0,organisationen,Leopold Museum,https://www.geschichtewiki.wien.gv.at/?curid=49622,Museumsplatz 1(HOF E1/21),Institution
3519,POINT (16.34535044600706 48.20026298980716),Institution,,,,,1991.0,Organisationen,Literaturhaus Wien,https://www.geschichtewiki.wien.gv.at/?curid=17654,Seidengasse 13,Institution
3562,POINT (16.34920634471394 48.20151582275927),Institution,,,,1911.0,1802.0,organisationen,Café Eckl,https://www.geschichtewiki.wien.gv.at/?curid=14811,Neubaugasse 38,Kaffeehaus
3596,POINT (16.354340222094947 48.205491929412304),Institution,,,,,1525.0,Organisationen,Kapuziner (Orden),https://www.geschichtewiki.wien.gv.at/?curid=32407,Mechitaristengasse 2,Institution
3614,POINT (16.35484401537997 48.20663604103296),,Denkmal,,,,1982.0,bauwerke,Wildgansdenkmal (7),https://www.geschichtewiki.wien.gv.at/?curid=11338,Lerchenfelder Straße 1-3 Hotel,
3666,POINT (16.34484854255855 48.203458143683946),Behörde,,,,2007.0,1924.0,organisationen,Landesbildstelle,https://www.geschichtewiki.wien.gv.at/?curid=27611,Zieglergasse 49,Behörde
3709,POINT (16.35617105430219 48.20527317944676),Institution,,,,1865.0,1806.0,Organisationen,Café Weghuber,https://www.geschichtewiki.wien.gv.at/?curid=15077,Neustiftgasse 3,Kaffeehaus
3754,POINT (16.35400798896044 48.19990466848028),,,Anschlag,,19330323000000.0,19321218000000.0,Ereignisse,Anschlag auf das Kaufhaus Gerngroß,https://www.geschichtewiki.wien.gv.at/?curid=49877,Mariahilfer Straße 38-40,Anschlag
3803,POINT (16.35685601554536 48.205680040981925),,Denkmal,,,,1898.0,Bauwerke,Raimunddenkmal,https://www.geschichtewiki.wien.gv.at/?curid=21798,Weghuberpark,
3840,POINT (16.34535044600706 48.20026298980716),Verein,,,,,1967.0,Organisationen,Dokumentationsstelle für neuere österreichische Literatur,https://www.geschichtewiki.wien.gv.at/?curid=47719,Seidengasse 13,Verein
3862,POINT (16.34041001574215 48.19701704123364),,Sakralbau,,,,1860.0,Bauwerke,Lazaristenkirche (7),https://www.geschichtewiki.wien.gv.at/?curid=29472,Neubaugürtel 4,Katholische Kirche
3902,POINT (16.34535044600706 48.20026298980716),Institution,,,,1989.0,1972.0,Organisationen,Dramatisches Zentrum,https://www.geschichtewiki.wien.gv.at/?curid=47716,Seidengasse 13,Institution
3904,POINT (16.359121743337287 48.20353747424892),Institution,,,,,2004.0,Organisationen,Dschungel Wien,https://www.geschichtewiki.wien.gv.at/?curid=47720,Museumsplatz 1(HOF E1/5),Theater
3932,POINT (16.359936015897887 48.204105041053744),,Denkmal,,,,1892.0,Bauwerke,"Rossebändiger (1, Maria-Theresien-Platz)",https://www.geschichtewiki.wien.gv.at/?curid=28783,Museumsplatz TIEFGARAGE,
3992,POINT (16.338590015727075 48.20148004090285),,Denkmal,,,,1901.0,Bauwerke,Loritzdenkmal,https://www.geschichtewiki.wien.gv.at/?curid=18627,Urban-Loritz-Platz 7,
4083,POINT (16.35594801523564 48.2006270412166),,Sakralbau,,,,1739.0,bauwerke,Stiftkirche,https://www.geschichtewiki.wien.gv.at/?curid=17928,Mariahilfer Straße 22-24/1,Katholische Kirche
4096,POINT (16.343344961586943 48.19925409235781),Verein,,,,,1906.0,Organisationen,Freier Wirtschaftsverband,https://www.geschichtewiki.wien.gv.at/?curid=25895,Schottenfeldgasse 24,Verein
4101,POINT (16.343278068219764 48.20382787366577),Firma,,,,,1879.0,Organisationen,Freytag & Berndt,https://www.geschichtewiki.wien.gv.at/?curid=26677,Schottenfeldgasse 64,Firma
4136,POINT (16.344717016171856 48.20159904093267),,Sakralbau,,,,1784.0,bauwerke,Schottenfelder Kirche,https://www.geschichtewiki.wien.gv.at/?curid=12719,Zieglergasse 33A,Katholische Kirche
4297,POINT (16.35454737265017 48.20313737989912),,Gebäude,,,,,Bauwerke,Amerlinghaus,https://www.geschichtewiki.wien.gv.at/?curid=22119,Stiftgasse 8,Gebäude
4369,POINT (16.339027895882953 48.20128225607368),,Gebäude,,,,1930.0,Bauwerke,Ankerhof (7),https://www.geschichtewiki.wien.gv.at/?curid=42427,Urban-Loritz-Platz 8,Gebäude
4468,POINT (16.35395947712005 48.20547885897682),,Gebäude,,,,1900.0,Bauwerke,Dreifaltigkeitshof (7),https://www.geschichtewiki.wien.gv.at/?curid=9464,Neustiftgasse 10/1,Gebäude
4496,POINT (16.344942211994002 48.19895639492765),,Gebäude,,,1876.0,1839.0,Bauwerke,Apollo-Kerzenfabrik (7),https://www.geschichtewiki.wien.gv.at/?curid=26110,Zieglergasse 15,Gebäude
4498,POINT (16.344942211994002 48.19895639492765),,Gebäude,,,1876.0,1807.0,Bauwerke,Apollosaal (7),https://www.geschichtewiki.wien.gv.at/?curid=26117,Zieglergasse 15,Gebäude
4505,POINT (16.347054945697366 48.19750407585019),,Gebäude,,,,1901.0,bauwerke,Bundesmobilienverwaltung,https://www.geschichtewiki.wien.gv.at/?curid=12596,Mariahilfer Straße 88,Gebäude
4596,POINT (16.343269653065825 48.20523099726741),,Gebäude,,,,1912.0,Bauwerke,Effenberger-Hof,https://www.geschichtewiki.wien.gv.at/?curid=11242,Schottenfeldgasse 78/1,Gebäude
4684,POINT (16.348954344783394 48.200851970830556),,Gebäude,,,,,Bauwerke,Gemeindehaus Neubau,https://www.geschichtewiki.wien.gv.at/?curid=17810,Neubaugasse 25/1,Gebäude
4685,POINT (16.34123009557791 48.202690789080094),,Gebäude,,,1848.0,,Bauwerke,Gemeindehaus Schottenfeld,https://www.geschichtewiki.wien.gv.at/?curid=17811,Kandlgasse 27,Gebäude
4712,POINT (16.34766407747118 48.20188578943374),,Gebäude,,,,,organisationen,Büromaschinenmuseum,https://www.geschichtewiki.wien.gv.at/?curid=14120,Westbahnstraße 8,Museum
4729,POINT (16.348954344783394 48.200851970830556),,Gebäude,,,,1911.0,Bauwerke,Elsahof,https://www.geschichtewiki.wien.gv.at/?curid=13055,Neubaugasse 25/1,Gebäude
4733,POINT (16.359713396007376 48.20144292132249),,Gebäude,,,,1898.0,Bauwerke,Emmahof,https://www.geschichtewiki.wien.gv.at/?curid=13588,Mariahilfer Straße 8,Gebäude
4786,POINT (16.35132431376619 48.2023526522141),,Gebäude,,,,,Bauwerke,Café Lurion,https://www.geschichtewiki.wien.gv.at/?curid=14892,Siebensterngasse 42-44,Kaffeehaus
4790,POINT (16.354340222094947 48.205491929412304),,Gebäude,,,,,Bauwerke,Café Mitterhauser,https://www.geschichtewiki.wien.gv.at/?curid=14899,Mechitaristengasse 2,Kaffeehaus
4793,POINT (16.3527322699945 48.205190719951325),,Gebäude,,,,,Bauwerke,Café Nepomuk,https://www.geschichtewiki.wien.gv.at/?curid=14916,Neustiftgasse 27,Kaffeehaus
4855,POINT (16.357019085485245 48.200754830695104),,Gebäude,,,1934.0,,Bauwerke,Café Siller (7),https://www.geschichtewiki.wien.gv.at/?curid=15045,Mariahilfer Straße 22-24/2,Kaffeehaus
4860,POINT (16.340182537424653 48.196199334795146),,Gebäude,,,,1890.0,Bauwerke,Café Westend,https://www.geschichtewiki.wien.gv.at/?curid=15079,Mariahilfer Straße 128,Kaffeehaus
4897,POINT (16.350736897291043 48.20402501905515),,Gebäude,,,,1874.0,Bauwerke,Adlerhof (7),https://www.geschichtewiki.wien.gv.at/?curid=14676,Siebensterngasse 46/10,Gebäude
4938,POINT (16.3494000247669 48.20136633307758),,Gebäude,,,1754.0,1686.0,Bauwerke,Esterházypalais (7),https://www.geschichtewiki.wien.gv.at/?curid=4091,Neubaugasse 36/1,Gebäude
4939,POINT (16.340571004708902 48.202357707220955),,Gebäude,,,,1821.0,Bauwerke,"Esterházysches Schöpfwerk (7, Kaiserstraße)",https://www.geschichtewiki.wien.gv.at/?curid=4134,Kaiserstraße 54,Gebäude
4953,POINT (16.33881432173123 48.20488359941372),,Gebäude,,,,1894.0,bauwerke,Argentor Werke,https://www.geschichtewiki.wien.gv.at/?curid=16819,Wimbergergasse 24,Gebäude
5009,POINT (16.35473242718822 48.204457286017714),,Gebäude,,,1899.0,,bauwerke,"Faßzieherhaus (7, Faßziehergasse 2)",https://www.geschichtewiki.wien.gv.at/?curid=14803,Gardegasse 3,Gebäude
5100,POINT (16.352930991859658 48.20440306441252),,Gebäude,,,1529.0,1333.0,Bauwerke,Berchtesgadner Hof,https://www.geschichtewiki.wien.gv.at/?curid=30213,Burggasse 22,Gebäude
5167,POINT (16.34068097810688 48.200032323188694),,Gebäude,,,,1890.0,Bauwerke,Bienenhof,https://www.geschichtewiki.wien.gv.at/?curid=35073,Kaiserstraße 33,Gebäude
5174,POINT (16.359121743337287 48.20353747424892),,Gebäude,,,,1719.0,bauwerke,Hofstallgebäude,https://www.geschichtewiki.wien.gv.at/?curid=866,Museumsplatz 1(HOF E1/5),Gebäude
5218,POINT (16.3519886396274 48.201986358202895),,Gebäude,,,,,bauwerke,Ludovikahof,https://www.geschichtewiki.wien.gv.at/?curid=20152,Siebensterngasse 29,Gebäude
5283,POINT (16.35141530930503 48.20162940461935),,Gebäude,,,,1898.0,bauwerke,Löwen-Hof,https://www.geschichtewiki.wien.gv.at/?curid=19854,Mondscheingasse 6,Gebäude
5374,POINT (16.34446670463047 48.199088001403524),,Gebäude,,,,1962.0,Bauwerke,Hans-Binder-Hof,https://www.geschichtewiki.wien.gv.at/?curid=3603,Lindengasse 61-63/2,Gebäude
5499,POINT (16.338356286258147 48.20001962128037),,Gebäude,,,,2000.0,bauwerke,Hauptbücherei,https://www.geschichtewiki.wien.gv.at/?curid=30972,Seidengasse 45,Gebäude
5701,POINT (16.359121743337287 48.20353747424892),,Gebäude,,,,,bauwerke,Messepalast,https://www.geschichtewiki.wien.gv.at/?curid=2618,Museumsplatz 1(HOF E1/5),Gebäude
5996,POINT (16.33836922252179 48.20052629974443),,Gebäude,,,,1873.0,Bauwerke,Hotel Wimberger,https://www.geschichtewiki.wien.gv.at/?curid=11501,Neubaugürtel 34-36(HOTEL WIMBERGER),Gebäude
6005,POINT (16.347498713349776 48.20418492466011),,Gebäude,,,1853.0,,Bauwerke,Langer Keller,https://www.geschichtewiki.wien.gv.at/?curid=28933,Burggasse 69,Gebäude
6009,POINT (16.353993422477288 48.20598652119396),,Gebäude,,,,,bauwerke,Lannerhaus,https://www.geschichtewiki.wien.gv.at/?curid=29092,Mechitaristengasse 5,Gebäude
6130,POINT (16.34852982226048 48.204357308165946),,Gebäude,,,,1901.0,Bauwerke,Industrie-Hof (7),https://www.geschichtewiki.wien.gv.at/?curid=39878,Burggasse 58,Gebäude
6141,POINT (16.346219918268535 48.20186991727784),,Gebäude,,,1847.0,1794.0,Bauwerke,Lichtenbergsches Etablissement,https://www.geschichtewiki.wien.gv.at/?curid=14685,Westbahnstraße 16,Gebäude
6190,POINT (16.338141773296897 48.2082030115944),,Gebäude,,,1909.0,1874.0,Bauwerke,Invalidenhaus (16),https://www.geschichtewiki.wien.gv.at/?curid=14228,U-Bahn Station Thaliastraße STATION,Spital
6247,POINT (16.347036457793788 48.20546524498356),,Gebäude,,,,1998.0,Bauwerke,"Studentenheim (7, Neustiftgasse)",https://www.geschichtewiki.wien.gv.at/?curid=29850,Neustiftgasse 83,Gebäude
6326,POINT (16.34800098734702 48.20560571354438),,Gebäude,,,,,Bauwerke,Neustiftgasse 56,https://www.geschichtewiki.wien.gv.at/?curid=56931,Neustiftgasse 56,Gebäude
6342,POINT (16.35474442233209 48.20451681923117),,Gebäude,,,1900.0,,Bauwerke,Rondellhaus (7),https://www.geschichtewiki.wien.gv.at/?curid=27916,Gardegasse 3,Gebäude
6402,POINT (16.35165044544807 48.20558045755067),,Gebäude,,,1788.0,1629.0,Bauwerke,Oberhof,https://www.geschichtewiki.wien.gv.at/?curid=23167,Neustiftgasse 30,Gebäude
6447,POINT (16.3494000247669 48.20136633307758),,Gebäude,,,,1932.0,bauwerke,Theater der Jugend,https://www.geschichtewiki.wien.gv.at/?curid=23949,Neubaugasse 36/1,Theater
6531,POINT (16.34261778206411 48.201707039735524),,Gebäude,,,,,bauwerke,Otto-Limanovsky-Hof,https://www.geschichtewiki.wien.gv.at/?curid=27290,Westbahnstraße 25/3,Gebäude
6657,POINT (16.34448021252856 48.201915562514635),,Gebäude,,,,1912.0,Bauwerke,Paula-Hof,https://www.geschichtewiki.wien.gv.at/?curid=4678,Westbahnstraße 26,Gebäude
6721,POINT (16.35290871221951 48.204565575256154),,Gebäude,,,,1750.0,bauwerke,Perichtoldsgadenhof,https://www.geschichtewiki.wien.gv.at/?curid=40408,St.-Ulrichs-Platz 2,Gebäude
6764,POINT (16.338141773296897 48.2082030115944),,Gebäude,,,,,Bauwerke,Tökes' Vergnügungsetablissement,https://www.geschichtewiki.wien.gv.at/?curid=24761,U-Bahn Station Thaliastraße STATION,Gebäude
